,sum,count,avarage
0,0.0,0.0,0.0
1,1394066.2036499933,12793.0,108.97101568435811
2,512150.6945219985,7939.0,64.5107311401938
3,168994.5749549996,2373.0,71.21558152338795
4,152183.12088400003,2628.0,57.908341280060895
5,444846.0039089959,11224.0,39.63346435397326
6,42154.910639999965,706.0,59.709505155807314
7,17402.568105,357.0,48.7466893697479
8,23684.767423,757.0,31.287671628797888
9,15020.525079999994,656.0,22.897141890243894
10,19561.345767,937.0,20.876569655282815
11,7482.066414999999,360.0,20.78351781944444
12,0.0,0.0,0.0
13,15597.241963000015,562.0,27.75309957829184
14,3414.3516949999994,166.0,20.568383704819272
15,3370.8896850000006,163.0,20.680304815950922
16,5543.768870999997,295.0,18.792436850847444
17,6431.504374000002,434.0,14.819134502304152
18,2359.471454,177.0,13.330347197740114
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,16900.233421000004,739.0,22.869057403247638
